Year,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,Selling & General & Admin,Research & Development,Operating Expenses,Operating Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Common,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,EBIT,EBIT Margin
2020,274515,5.51%,169559,104956,19916,18752,38668,66288,-803,67091,9680,57411,57411,3.90%,17352,17528,-5.74%,3.31,3.28,10.44%,4.23,0.8,6.00%,38.23%,24.15%,20.91%,26.73%,14.43%,78147,28.47%,67091,24.44%
2019,260174,-2.04%,161782,98392,18245,16217,34462,63930,-1807,65737,10481,55256,55256,-7.18%,18471,18596,-7.02%,2.99,2.97,-0.34%,3.19,0.75,10.29%,37.82%,24.57%,21.24%,22.64%,15.94%,78284,30.09%,65737,25.27%
2018,265595,15.86%,163756,101839,16705,14236,30941,70898,-2005,72903,13372,59531,59531,23.12%,19822,20000,-4.79%,3,2.98,29.40%,3.23,0.68,13.33%,38.34%,26.69%,22.41%,24.14%,18.34%,83806,31.55%,72903,27.45%
2017,229234,6.30%,141048,88186,15261,11581,26842,61344,-2745,64089,15738,48351,48351,5.83%,20869,21007,-4.52%,2.32,2.3,10.83%,2.48,0.6,10.09%,38.47%,26.76%,21.09%,22.59%,24.56%,74246,32.39%,64089,27.96%
2016,215639,-7.73%,131376,84263,14194,10045,24239,60024,-1348,61372,15685,45687,45687,-14.43%,21883,22001,-5.05%,2.09,2.08,-9.85%,2.44,0.55,10.10%,39.08%,27.84%,21.19%,24.81%,25.56%,71877,33.33%,61372,28.46%
2015,233715,27.86%,140089,93626,14329,8067,22396,71230,-1285,72515,19121,53394,53394,35.14%,23014,23172,-5.38%,2.32,2.31,42.90%,3.03,0.49,9.27%,40.06%,30.48%,22.85%,29.86%,26.37%,83772,35.84%,72515,31.03%
2014,182795,6.95%,112258,70537,11993,6041,18034,52503,-980,53483,13973,39510,39510,6.68%,24342,24491,-6.12%,1.62,1.61,13.59%,2.05,0.45,11.30%,38.59%,28.72%,21.61%,27.30%,26.13%,61429,33.61%,53483,29.26%
2013,170910,9.20%,106606,64304,10830,4475,15305,48999,-1156,50155,13118,37037,37037,-11.25%,25909,26087,-1.45%,1.43,1.42,-9.96%,1.72,0.41,328.42%,37.62%,28.67%,21.67%,26.09%,26.15%,56912,33.30%,50155,29.35%
2012,156508,44.58%,87846,68662,10040,3381,13421,55241,-522,55763,14030,41733,41733,60.99%,26175,26470,0.93%,1.59,1.58,59.45%,1.58,0.1,-,43.87%,35.30%,26.67%,26.49%,25.16%,59040,37.72%,55763,35.63%
2011,108249,-,64431,43818,7599,2429,10028,33790,-415,34205,8283,25922,25922,-,25879,26226,-,1,0.99,-,1.16,-,-,40.48%,31.22%,23.95%,27.79%,24.22%,36019,33.27%,34205,31.60%
